2019-09-17 16:54:42.3525||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000074.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:42.4241||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000073.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:42.5696||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000074.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:42.9834||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000080.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:43.1706||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000080.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:44.7462||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000097.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:44.9289||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000097.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:54.0246||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000187.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:54.2136||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000187.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:58.3125||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000228.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:58.5457||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000228.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:55:14.2136||INFO|QQQidian.Controllers.HomeController|End getCustomerInfos |url: https://localhost/cus|action: getCustomerInfos
