2019-09-06 09:46:11.2973||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000004.Retry Count = 0 
2019-09-06 09:46:33.4480||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000004.Retry Count = 1 
2019-09-06 09:46:33.4758||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000019.Retry Count = 1 
2019-09-06 09:46:33.4758||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000047.Retry Count = 0 
2019-09-06 09:46:33.5541||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000065.Retry Count = 0 
2019-09-06 09:46:33.5773||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000062.Retry Count = 0 
2019-09-06 09:46:33.5773||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000014.Retry Count = 1 
2019-09-06 09:46:33.6234||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000074.Retry Count = 0 
2019-09-06 09:46:33.6416||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000073.Retry Count = 0 
2019-09-06 09:46:33.6552||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000051.Retry Count = 0 
2019-09-06 09:46:33.7008||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000047.Retry Count = 1 
2019-09-06 09:46:33.7866||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000062.Retry Count = 1 
2019-09-06 09:46:33.7866||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000065.Retry Count = 1 
2019-09-06 09:46:33.8436||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000074.Retry Count = 1 
2019-09-06 09:46:33.8698||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000073.Retry Count = 1 
2019-09-06 09:46:33.9036||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000051.Retry Count = 1 
2019-09-06 09:50:13.8760||INFO|QQQidian.Controllers.HomeController|End getCustomerInfos 
2019-09-06 09:50:13.8760|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action method QQQidian.Controllers.HomeController.getCustomerInfos (QQQidian), returned result Microsoft.AspNetCore.Mvc.FileContentResult in 250970.2441ms. 
2019-09-06 09:50:13.8931|2|INFO|Microsoft.AspNetCore.Mvc.Infrastructure.FileContentResultExecutor|Executing Microsoft.AspNetCore.Mvc.FileContentResult, sending file with download name 'cusInfoJson_20190906095013.csv' ... 
2019-09-06 09:50:13.8931|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action QQQidian.Controllers.HomeController.getCustomerInfos (QQQidian) in 250984.8831ms 
2019-09-06 09:50:13.9051|1|INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executed endpoint 'QQQidian.Controllers.HomeController.getCustomerInfos (QQQidian)' 
2019-09-06 09:50:13.9051|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 251027.5637ms 200 application/csv 
